Date,Open,High,Low,Close,DS,ADX 14 14,Wilder's RSI 14,Stochastics 12 %K 3
12/2/05 12:00:00 AM -08:00,33.63,35.38,33.52,34.91,7.936507937,,,
12/9/05 12:00:00 AM -08:00,34.74,35.36,34.1,34.84,-6.666666667,3.571429,,
12/16/05 12:00:00 AM -08:00,34.84,35.69,34.34,34.75,-9.734513274,10.45918,,
12/23/05 12:00:00 AM -08:00,34.66,34.93,33.8,34.55,-74.56140351,11.68319,,
12/30/05 12:00:00 AM -08:00,34.57,34.72,33.58,33.72,-20.90909091,13.9508,,
1/6/06 12:00:00 AM -08:00,34.29,34.3,33.2,34.06,34.30656934,17.22489,,
1/13/06 12:00:00 AM -08:00,34,35.36,33.99,34.47,76,17.02964,,
1/20/06 12:00:00 AM -08:00,34.72,35.91,34.41,35.86,-46.02272727,18.10772,,
1/27/06 12:00:00 AM -08:00,35.86,36.31,34.55,35.05,85.6,19.78292,,
2/3/06 12:00:00 AM -08:00,34.9,36.08,34.83,35.97,38.82352941,21.33847,,
2/10/06 12:00:00 AM -08:00,36,36.75,35.9,36.33,-41.66666667,23.67061,,
2/17/06 12:00:00 AM -08:00,36.41,36.59,35.75,36.06,-60.6741573,25.2997,,
2/24/06 12:00:00 AM -08:00,35.88,36.08,35.19,35.34,-40.90909091,25.09714,,
3/3/06 12:00:00 AM -08:00,35.3,35.53,34.43,34.85,6.451612903,23.39074,,62.44131
3/10/06 12:00:00 AM -08:00,34.61,35.01,34.39,34.65,50,21.88271,,49.20187
3/17/06 12:00:00 AM -08:00,34.53,35.25,34.11,35.1,-30.76923077,21.00956,51.25827,46.94833
3/24/06 12:00:00 AM -08:00,34.94,35.14,34.36,34.7,-9.375,20.19878,48.49157,45.5399
3/31/06 12:00:00 AM -08:00,34.42,34.8,34.16,34.36,76.78571429,19.82588,46.20847,36.39346
4/7/06 12:00:00 AM -07:00,34.45,34.99,34.43,34.88,-17.24137931,19.01298,50.07967,28.27533
4/13/06 12:00:00 AM -07:00,35,35.57,34.7,34.85,-16.98113208,18.27081,49.85673,23.53423
4/21/06 12:00:00 AM -07:00,34.78,35.11,34.05,34.6,21.78217822,17.58838,47.94154,25.85575
4/28/06 12:00:00 AM -07:00,34.35,34.72,33.71,34.57,55.33980583,17.49262,47.70473,25.56335
5/5/06 12:00:00 AM -07:00,34.64,35.25,34.22,35.21,-29.46428571,16.39359,53.03469,33.58105
5/12/06 12:00:00 AM -07:00,35.21,35.99,34.87,34.88,-63.47826087,16.19996,50.19396,43.24664
5/19/06 12:00:00 AM -07:00,34.88,35.12,33.97,34.15,-85.92592593,15.4331,44.51381,40.24959
5/26/06 12:00:00 AM -07:00,34.08,34.14,32.79,32.92,61.20689655,16.01832,36.93045,24.24262
6/2/06 12:00:00 AM -07:00,32.8,33.78,32.62,33.51,-12.14953271,16.71963,42.03182,16.59007
6/9/06 12:00:00 AM -07:00,33.51,33.88,32.81,33.38,-19.04761905,17.20901,41.24031,17.67461
6/16/06 12:00:00 AM -07:00,33.5,33.62,31.73,33.14,-48.11320755,18.60874,39.75198,27.35333
6/23/06 12:00:00 AM -07:00,33.11,33.54,32.48,32.6,37.17472119,19.90849,36.55533,25.35768
6/30/06 12:00:00 AM -07:00,32.6,34.6,31.91,33.6,-57.14285714,19.50647,45.32381,32.47258
7/7/06 12:00:00 AM -07:00,33.7,34,33.09,33.18,-27.05882353,19.13317,42.65723,32.78558
7/14/06 12:00:00 AM -07:00,33.5,34.45,32.75,33.04,49.64539007,18.17443,41.77496,36.22847
7/21/06 12:00:00 AM -07:00,34,35.2,33.79,34.7,59.40594059,17.36406,53.9398,44.83568
7/28/06 12:00:00 AM -07:00,34.69,35.4,34.39,35.29,3.305785124,16.83083,57.35048,61.34585
8/4/06 12:00:00 AM -07:00,35.37,36.06,34.85,35.41,-38.35616438,17.01021,58.03117,79.42493
8/11/06 12:00:00 AM -07:00,35.25,35.68,34.22,34.69,71.06918239,16.34768,52.60601,78.97224
8/18/06 12:00:00 AM -07:00,35.05,36.25,34.66,36.18,-92.55319149,16.30297,60.77787,83.93333
8/25/06 12:00:00 AM -07:00,36.1,36.1,35.16,35.23,96.98795181,16.26145,54.34401,81.41506
9/1/06 12:00:00 AM -07:00,35.15,36.8,35.14,36.76,65.06849315,16.88363,61.42624,91.69866
9/8/06 12:00:00 AM -07:00,36.55,37.51,36.05,37.5,10.31746032,18.0351,64.30991,92.15537
9/15/06 12:00:00 AM -07:00,37.6,38.29,37.03,37.73,39.02439024,19.64229,65.18116,96.75168
9/22/06 12:00:00 AM -07:00,37.73,38.53,37.3,38.21,46.46464646,21.28721,66.99215,95.16923
